Instance,Miliseconds,Opt, optCalc,Capacity
0,0,2586,2586,997
1,1,2581,2581,982
2,0,3373,3373,998
3,0,3290,3290,1001
4,1,3237,3237,1037
5,1,3626,3626,1526
6,1,4227,4227,1828
7,0,5150,5150,1853
8,0,5735,5735,2035
9,2,5416,5416,2520
10,1,6358,6358,2558
11,2,6396,6396,2996
12,2,7396,7396,3538
13,2,8032,8032,3732
14,2,8054,8054,4554
15,2,8740,8740,4125
16,3,9494,9494,4497
17,2,9100,9100,4400
18,2,8695,8695,4595
19,3,10015,10015,4923
20,3,10588,10588,5788
21,3,10669,10669,5569
22,3,10900,10900,5602
23,3,11564,11564,6564
24,3,11880,11880,5782
25,3,12146,12146,6354
26,4,12421,12421,7221
27,3,12068,12068,5668
28,4,12853,12853,6353
29,4,13171,13171,7471
30,4,12639,12639,7639
31,4,14158,14158,7670
32,5,15031,15031,9131
33,4,14206,14206,8406
34,5,15040,15040,8440
35,3,14007,14007,7014
36,5,15744,15744,8944
37,5,15530,15530,8930
38,5,17094,17094,10494
39,5,17133,17133,10634
40,5,17158,17158,9958
41,5,17229,17229,10235
42,6,18293,18293,11493
43,6,18300,18300,10901
44,5,17589,17589,10090
45,7,19565,19565,12468
46,6,18325,18325,11031
47,7,19701,19701,12703
48,5,17854,17854,9758
49,7,20273,20273,12473
