Instance,Miliseconds,Opt, optCalc,Capacity
0,0,1428,1428,970
1,1,3990,3990,900
2,0,1800,1800,1150
3,1,1600,1600,1390
4,0,1288,1288,1303
5,1,2358,2358,1768
6,1,1818,1818,2111
7,2,2622,2622,2991
8,2,2158,2158,3194
9,2,5258,5258,3188
10,2,4407,4407,3856
11,2,4794,4794,4247
12,3,6992,6992,4866
13,3,6468,6468,5981
14,4,7289,7289,7278
15,3,5940,5940,6833
16,3,12090,12090,7010
17,5,10624,10624,8150
18,2,22722,22722,4525
19,5,6888,6888,10056
20,2,27335,27335,3964
21,3,20414,20414,6056
22,4,17780,17780,8328
23,0,9918,9918,614
24,3,26332,26332,5565
25,4,8205,8205,7337
26,6,22401,22401,10531
27,5,6362,6362,9976
28,2,8620,8620,3051
29,2,16006,16006,4219
30,2,12575,12575,2909
31,2,6745,6745,5041
32,6,19750,19750,10761
33,4,21368,21368,6773
34,1,16464,16464,3692
35,3,12674,12674,7129
36,5,25060,25060,8463
37,6,20372,20372,11167
38,5,15024,15024,9715
39,6,3072,3072,12229
40,6,23419,23419,10811
41,7,22518,22518,13835
42,6,19980,19980,9994
43,7,19538,19538,14463
44,8,5760,5760,16232
45,11,29357,29357,20508
46,8,9394,9394,15242
47,8,16591,16591,15229
48,11,4986,4986,19665
49,4,36579,36579,8484
