Instance,Miliseconds,Opt, optCalc,Capacity
0,1,1894,1894,994
1,0,1678,1678,997
2,1,1798,1798,998
3,0,1897,1897,999
4,1,2415,2415,1232
5,1,2588,2588,1388
6,1,2910,2910,1812
7,5,3241,3241,1941
8,1,3458,3458,2258
9,2,4226,4226,2835
10,5,4230,4230,2230
11,2,4909,4909,3509
12,2,4995,4995,3198
13,2,5621,5621,3843
14,2,5978,5978,4478
15,2,6202,6202,4208
16,3,6365,6365,4365
17,2,6150,6150,4150
18,2,6815,6815,4715
19,3,7611,7611,5511
20,3,7621,7621,5324
21,3,8162,8162,5962
22,3,8114,8114,5714
23,4,8652,8652,6452
24,3,8263,8263,5763
25,3,9368,9368,6872
26,4,9560,9560,6968
27,3,8462,8462,5662
28,3,8917,8917,5917
29,3,10039,10039,7239
30,5,10717,10717,8117
31,4,10898,10898,8398
32,5,11257,11257,8473
33,4,10796,10796,8096
34,5,11135,11135,8135
35,4,10907,10907,7907
36,5,12007,12007,8907
37,4,11253,11253,8153
38,6,13248,13248,10348
39,5,13102,13102,10102
40,6,13121,13121,10121
41,6,14055,14055,10955
42,5,13419,13419,10120
43,7,15713,15713,12713
44,6,15046,15046,11855
45,6,15444,15444,12146
46,6,14952,14952,11652
47,7,15020,15020,11620
48,6,15282,15282,11782
49,6,15057,15057,11557
0,1,1894,1894,994
1,0,1678,1678,997
2,0,1798,1798,998
3,1,1897,1897,999
4,0,2415,2415,1232
5,1,2588,2588,1388
6,0,2910,2910,1812
7,1,3241,3241,1941
8,1,3458,3458,2258
9,1,4226,4226,2835
10,0,4230,4230,2230
11,2,4909,4909,3509
12,1,4995,4995,3198
13,1,5621,5621,3843
14,2,5978,5978,4478
15,1,6202,6202,4208
16,1,6365,6365,4365
17,2,6150,6150,4150
18,1,6815,6815,4715
19,3,7611,7611,5511
20,2,7621,7621,5324
21,2,8162,8162,5962
22,3,8114,8114,5714
23,2,8652,8652,6452
24,2,8263,8263,5763
25,2,9368,9368,6872
26,3,9560,9560,6968
27,2,8462,8462,5662
28,2,8917,8917,5917
29,3,10039,10039,7239
30,3,10717,10717,8117
31,3,10898,10898,8398
32,4,11257,11257,8473
33,3,10796,10796,8096
34,3,11135,11135,8135
35,3,10907,10907,7907
36,4,12007,12007,8907
37,3,11253,11253,8153
38,3,13248,13248,10348
39,4,13102,13102,10102
40,4,13121,13121,10121
41,3,14055,14055,10955
42,4,13419,13419,10120
43,5,15713,15713,12713
44,4,15046,15046,11855
45,5,15444,15444,12146
46,5,14952,14952,11652
47,5,15020,15020,11620
48,3,15282,15282,11782
49,3,15057,15057,11557
