Instance,Miliseconds,Opt, optCalc,Capacity
0,94,995,995,100099
1,44,997,997,100099
2,89,970,970,148581
3,97,976,976,198108
4,187,1933,1933,247639
5,3060,1892,1892,297181
6,186,2882,2882,346695
7,268,2902,2902,396249
8,451,3826,3826,445775
9,268,3774,3774,495248
10,362,4406,4406,544853
11,875,4800,4800,594329
12,340,5376,5376,643891
13,823,5711,5711,693468
14,400,6784,6784,742888
15,506,6430,6430,792458
16,1364,6942,6942,842000
17,480,7440,7440,891488
18,567,8246,8246,941079
19,733,8651,8651,990576
20,799,8706,8706,1040017
21,591,8367,8367,1089635
22,630,9760,9760,1139172
23,678,8928,8928,1188754
24,804,10407,10407,1238270
25,839,10138,10138,1287832
26,846,10162,10162,1337345
27,873,11236,11236,1386803
28,1096,10591,10591,1436326
29,2270,12555,12555,1485862
30,1423,13735,13735,1535340
31,1004,12886,12886,1585033
32,1230,11670,11670,1634479
33,1061,12227,12227,1683983
34,1083,13988,13988,1733542
35,1172,14188,14188,1782972
36,1166,15692,15692,1832403
37,1404,13648,13648,1882048
38,1239,14675,14675,1931823
39,1376,14646,14646,1981109
40,1445,15013,15013,2030750
41,1219,16272,16272,2080232
42,1435,17264,17264,2129797
43,1501,17813,17813,2179512
44,1606,16662,16662,2228968
45,1544,15666,15666,2278378
46,1611,17736,17736,2327968
47,1482,15605,15605,2377416
48,1644,19247,19247,2426792
49,1694,15291,15291,2476557
