Instance,Miliseconds,Opt, optCalc,Capacity
0,117,8373,8373,995
1,36,5847,5847,997
2,8,5962,5962,970
3,2,4888,4888,976
4,14,4889,4889,1361
5,10,8181,8181,1370
6,11,6033,6033,1765
7,11,6865,6865,2030
8,11,7082,7082,2152
9,16,7605,7605,2745
10,22,9533,9533,2397
11,38,7654,7654,3676
12,23,9577,9577,3194
13,8,11287,11287,3665
14,20,11828,11828,4223
15,3,10342,10342,4316
16,8,11265,11265,4179
17,3,11951,11951,4589
18,41,12383,12383,4389
19,9,11321,11321,5782
20,18,15598,15598,5030
21,3,12839,12839,5241
22,3,15362,15362,5691
23,8,13993,13993,5613
24,3,12492,12492,6312
25,3,15324,15324,5939
26,8,15342,15342,5883
27,3,12972,12972,6619
28,9,14950,14950,5990
29,10,16438,16438,8045
30,10,15279,15279,8349
31,10,12751,12751,8630
32,12,17776,17776,7341
33,9,17087,17087,7894
34,9,16679,16679,8186
35,12,13517,13517,9462
36,9,17687,17687,9829
37,10,17772,17772,8297
38,8,18922,18922,8990
39,11,18801,18801,9191
40,9,17307,17307,9656
41,13,17820,17820,10962
42,31,20026,20026,11194
43,33,18934,18934,12882
44,18,17907,17907,11181
45,12,19702,19702,10940
46,20,19800,19800,12215
47,11,20391,20391,10204
48,17,17610,17610,13322
49,10,21065,21065,9771
0,10,8373,8373,995
1,5,5847,5847,997
2,2,5962,5962,970
3,9,4888,4888,976
4,4,4889,4889,1361
5,13,8181,8181,1370
6,6,6033,6033,1765
7,2,6865,6865,2030
8,2,7082,7082,2152
9,2,7605,7605,2745
10,2,9533,9533,2397
11,2,7654,7654,3676
12,2,9577,9577,3194
13,2,11287,11287,3665
14,2,11828,11828,4223
15,2,10342,10342,4316
16,1,11265,11265,4179
17,3,11951,11951,4589
18,2,12383,12383,4389
19,3,11321,11321,5782
20,2,15598,15598,5030
21,2,12839,12839,5241
22,1,15362,15362,5691
23,1,13993,13993,5613
24,1,12492,12492,6312
25,1,15324,15324,5939
26,2,15342,15342,5883
27,2,12972,12972,6619
28,1,14950,14950,5990
29,2,16438,16438,8045
30,2,15279,15279,8349
31,2,12751,12751,8630
32,2,17776,17776,7341
33,7,17087,17087,7894
34,3,16679,16679,8186
35,2,13517,13517,9462
36,2,17687,17687,9829
37,2,17772,17772,8297
38,2,18922,18922,8990
39,2,18801,18801,9191
40,2,17307,17307,9656
41,3,17820,17820,10962
42,2,20026,20026,11194
43,3,18934,18934,12882
44,2,17907,17907,11181
45,2,19702,19702,10940
46,3,19800,19800,12215
47,2,20391,20391,10204
48,3,17610,17610,13322
49,2,21065,21065,9771
