Instance,Miliseconds,Opt, optCalc,Capacity
0,1,994,994,1094
1,0,997,997,1097
2,1,998,998,1098
3,0,999,999,1099
4,1,1278,1278,1480
5,6,1477,1477,1685
6,1,1955,1955,2159
7,1,2037,2037,2337
8,2,2403,2403,2703
9,2,2930,2930,3330
10,1,2474,2474,2774
11,2,3703,3703,4103
12,2,3442,3442,3842
13,2,4036,4036,4536
14,3,4720,4720,5220
15,3,4500,4500,5000
16,2,4651,4651,5206
17,3,4504,4504,5041
18,3,5056,5056,5656
19,3,5835,5835,6501
20,4,5664,5664,6364
21,3,6351,6351,7051
22,4,6153,6153,6853
23,4,6841,6841,7641
24,4,6301,6301,7001
25,4,7286,7286,8159
26,5,7485,7485,8305
27,3,6248,6248,7048
28,4,6553,6553,7353
29,5,7824,7824,8724
30,5,8652,8652,9652
31,5,8882,8882,9982
32,6,9105,9105,10107
33,5,8679,8679,9779
34,5,8815,8815,9867
35,6,8589,8589,9689
36,6,9613,9613,10738
37,5,8878,8878,10034
38,7,10979,10979,12279
39,6,10782,10782,12082
40,8,10769,10769,12151
41,11,11634,11634,13034
42,7,10949,10949,12249
43,9,13355,13355,14892
44,9,12583,12583,14083
45,36,12923,12923,14423
46,15,12468,12468,13979
47,12,12495,12495,13996
48,16,12705,12705,14208
49,13,12432,12432,14032
0,0,994,994,1094
1,1,997,997,1097
2,0,998,998,1098
3,0,999,999,1099
4,1,1278,1278,1480
5,1,1477,1477,1685
6,1,1955,1955,2159
7,1,2037,2037,2337
8,1,2403,2403,2703
9,1,2930,2930,3330
10,1,2474,2474,2774
11,2,3703,3703,4103
12,1,3442,3442,3842
13,2,4036,4036,4536
14,2,4720,4720,5220
15,1,4500,4500,5000
16,2,4651,4651,5206
17,2,4504,4504,5041
18,3,5056,5056,5656
19,1,5835,5835,6501
20,1,5664,5664,6364
21,2,6351,6351,7051
22,2,6153,6153,6853
23,1,6841,6841,7641
24,2,6301,6301,7001
25,2,7286,7286,8159
26,2,7485,7485,8305
27,3,6248,6248,7048
28,1,6553,6553,7353
29,3,7824,7824,8724
30,2,8652,8652,9652
31,2,8882,8882,9982
32,3,9105,9105,10107
33,2,8679,8679,9779
34,2,8815,8815,9867
35,2,8589,8589,9689
36,6,9613,9613,10738
37,2,8878,8878,10034
38,3,10979,10979,12279
39,4,10782,10782,12082
40,3,10769,10769,12151
41,3,11634,11634,13034
42,3,10949,10949,12249
43,3,13355,13355,14892
44,3,12583,12583,14083
45,3,12923,12923,14423
46,3,12468,12468,13979
47,3,12495,12495,13996
48,3,12705,12705,14208
49,3,12432,12432,14032
