Instance,Miliseconds,Opt, optCalc,Capacity
0,1,1396,1396,995
1,0,1352,1352,997
2,1,1348,1348,970
3,0,1319,1319,976
4,1,1683,1683,1361
5,0,1822,1822,1370
6,1,2350,2350,1765
7,1,2695,2695,2030
8,1,2652,2652,2152
9,1,3267,3267,2745
10,1,3253,3253,2397
11,16,4300,4300,3676
12,1,3797,3797,3194
13,2,4316,4316,3665
14,16,4962,4962,4223
15,2,5070,5070,4316
16,2,5176,5176,4179
17,7,5384,5384,4589
18,5,5201,5201,4389
19,29,6646,6646,5782
20,24,6164,6164,5030
21,7,6103,6103,5241
22,17,6823,6823,5691
23,8,6713,6713,5613
24,15,7075,7075,6312
25,11,6920,6920,5939
26,18,7026,7026,5883
27,30,7694,7694,6619
28,16,7106,7106,5990
29,47,9183,9183,8045
30,16,9222,9222,8349
31,5,9623,9623,8630
32,18,8553,8553,7341
33,19,8955,8955,7894
34,15,9215,9215,8186
35,24,10870,10870,9462
36,9,10979,10979,9829
37,21,9323,9323,8297
38,5,10042,10042,8990
39,5,10555,10555,9191
40,10,10919,10919,9656
41,16,12352,12352,10962
42,25,12367,12367,11194
43,17,14303,14303,12882
44,16,12335,12335,11181
45,15,12048,12048,10940
46,84,13199,13199,12215
47,34,11511,11511,10204
48,24,14614,14614,13322
49,20,11390,11390,9771
