Instance,Miliseconds,Opt, optCalc,Capacity
0,0,970,970,970
1,1,940,940,900
2,0,1360,1360,1150
3,1,1660,1660,1390
4,1,1485,1485,1303
5,0,1946,1946,1768
6,1,1875,1875,2111
7,2,2971,2971,2991
8,1,3382,3382,3194
9,2,3228,3228,3188
10,2,3990,3990,3856
11,2,4624,4624,4247
12,3,5434,5434,4866
13,3,6714,6714,5981
14,4,7802,7802,7278
15,3,6105,6105,6833
16,4,7047,7047,7010
17,4,8520,8520,8150
18,2,4364,4364,4525
19,6,10542,10542,10056
20,2,6039,6039,3964
21,3,6378,6378,6056
22,4,7794,7794,8328
23,1,1131,1131,614
24,2,5004,5004,5565
25,5,7598,7598,7337
26,5,11790,11790,10531
27,5,9866,9866,9976
28,2,2897,2897,3051
29,2,5821,5821,4219
30,2,3922,3922,2909
31,3,6460,6460,5041
32,6,11634,11634,10761
33,3,5856,5856,6773
34,2,3276,3276,3692
35,4,8000,8000,7129
36,5,9768,9768,8463
37,6,11596,11596,11167
38,5,10413,10413,9715
39,6,14336,14336,12229
40,6,12684,12684,10811
41,7,16770,16770,13835
42,6,8715,8715,9994
43,7,13746,13746,14463
44,9,17280,17280,16232
45,11,22470,22470,20508
46,8,16034,16034,15242
47,8,16658,16658,15229
48,11,19771,19771,19665
49,5,6787,6787,8484
